Rec_Desc	Rec_Type	Point ID	Description	Inst_Height_	Rod Height	Horiz_ Angle	Vert_ Angle	Slope Dist	Local_N	Local_E	Local_Z	PC	EDM Mode	SF
Side Shot	SS	108	FENCE1		5500	0	0.000525	3.3566	16556174237	942130662	16404			
Side Shot	SS	101	LIGHT POLE		5500	61.219784	0.000432	3.3566						
Side Shot	SS	102	FENCE1		5500	61.21966	0.000309	3.3566						
Side Shot	SS	103	FENCE		5500	61.219537	0.000525	3.3566						
Side Shot	SS	104	FENCE		5500	61.219537	0.000525	3.3566						
Side Shot	SS	105	EP1		5500	61.219784	0.000432	3.3566						
Side Shot	SS	106	EP		5500	61.219537	0.000525	3.3566						
Side Shot	SS	107	EP		5500	61.219784	0.000432	3.3566						
Side Shot	SS	108	FENCE1		5500	61.219784	0.000432	3.3566						
Side Shot	SS	109	FENCE		5500	61.219537	0.000525	3.3566						
